"",,,,,Previous Retail,September 2020,September 2020,September 2020,September 2020
SKU,Product Name by Product Category,Previous PV,Previous BV,Previous IBOC,,,,,
"",,,,,Price,PV,BV,IBOC,Retail Price
748788,XSTM Energy + Burn - Strawberry - Pallet,"2,365.44","7,096.32","7,096.32","8,064.00","1,517.62","4,628.74","4,628.74","5,143.04"
748796,XSTM Energy Drink - Variety Case - Pallet,"1,800.96","5,429.76","5,429.76","6,048.00","1,300.82","3,967.49","3,967.49","4,408.32"
124973,XSTM Energy Drink - Four Flavor - Pallet,New,"1,300.82","3,967.49","3,967.49","4,408.32",,,
749083,XSTM Energy Drink - Naranja - Pallet,"1,738.50","5,215.50","5,215.50","5,795.00","1,300.82","3,967.49","3,967.49","4,408.32"
762317,XSTM Sparkling Juiced Energy - Pink Grapefruit - Pallet,"1,800.96","5,429.76","5,429.76","6,048.00","1,300.82","3,967.49","3,967.49","4,408.32"
762448,XSTM Sparkling Juiced Energy - Mango Pineapple Guava - Pallet,"1,800.96","5,429.76","5,429.76","6,048.00","1,300.82","3,967.49","3,967.49","4,408.32"
763745,XSTM Sparkling Juiced Energy - Dragon Fruit - Pallet,"1,800.96","5,429.76","5,429.76","6,048.00","1,300.82","3,967.49","3,967.49","4,408.32"
763761,XSTM Juiced and Burn - Variety Case - Pallet,"1,993.60","5,980.80","5,980.80","6,720.00","1,409.22","4,298.11","4,298.11","4,775.68"
763762,XSTM Sparkling Juiced Energy - Caffeine-Free Mango Pineapple Guava - Pallet,"1,800.96","5,429.76","5,429.76","6,048.00","1,300.82","3,967.49","3,967.49","4,408.32"
763767,XSTM Energy + Burn - Blood Orange - Pallet,"2,365.44","7,096.32","7,096.32","8,064.00","1,517.62","4,628.74","4,628.74","5,143.04"
763774,XSTM Energy Drink - Tamarindo - Pallet,"1,800.96","5,429.76","5,429.76","6,048.00","1,300.82","3,967.49","3,967.49","4,408.32"
292506,XSTM Energy Gum + U.S. Dream Academy Donation Bundle,7.20,17.60,21.70,24.00,6.79,17.60,21.70,24.00
296753,XSTM CBD Cream,16.50,49.50,49.50,55.00,16.23,49.50,49.50,55.00
300323,XSTM CBD Pro Cream,19.50,58.50,58.50,65.00,19.18,58.50,58.50,65.00
300548,XSTM Sparkling + Electrolytes Sparkling Water,5.40,16.20,16.20,18.00,5.31,16.20,16.20,18.00
300549,XSTM Sparkling + Electrolytes Sparkling Water,5.40,16.20,16.20,18.00,5.31,16.20,16.20,18.00
